Title,Author,Year,Language,CoverType,Links,Price,Discount
The Thirteenth Tribe,Arthur Koestler,0.0,English,Paperback,https://www.libristo.pl/book/thirteenth-tribe-9876236.html,82.48,0
Hermetica,Timothy Freke,2008.0,English,Paperback,https://www.libristo.pl/book/hermetica-2167296.html,65.58,5
"NKJV, Holy Bible, Soft Touch Edition, Leathersoft, Brown, Comfort Print",Thomas Nelson,2018.0,English,Hardback,https://www.libristo.pl/book/nkjv-holy-bible-soft-touch-edition-imitation-leather-brown-comfort-print.html,37.29,16
From Bacteria to Bach and Back,Daniel C. Dennett,2018.0,English,Paperback,https://www.libristo.pl/book/from-bacteria-to-bach-back.html,50.01,5
Malleus Maleficarum,P. G. Maxwell-Stuart,2007.0,English,Paperback,https://www.libristo.pl/book/malleus-maleficarum-4647635.html,107.63,0
God Delusion,Richard Dawkins,2016.0,English,Paperback,https://www.libristo.pl/book/the-god-delusion-10044233.html,57.99,16
Letters from a Stoic - The Ancient Classic,Seneca,2021.0,English,Hardback,https://www.libristo.pl/book/letters-from-a-stoic_33104124.html,52.1,24
Simulacra and Simulation,Jean Baudrillard,1994.0,English,Paperback,https://www.libristo.pl/book/simulacra-and-simulation.html,100.8,5
Why Buddhism Is True,Robert Wright,2018.0,English,Paperback,https://www.libristo.pl/book/why-buddhism-is-true-19653260.html,52.86,16
Built to Last,James C Collins,2004.0,English,Paperback,https://www.libristo.pl/book/built-to-last-4362404.html,72.23,14
The Nag Hammadi Scriptures,"Marvin W. Meyer, James M. Robinson",2009.0,English,Paperback,https://www.libristo.pl/book/nag-hammadi-scriptures.html,149.11,6
When Things Fall Apart,Pema Chodron,2016.0,English,Paperback,https://www.libristo.pl/book/when-things-fall-apart-11127959.html,82.1,6
The Sickness Unto Death,Soren Kierkegaard,1989.0,English,Paperback,https://www.libristo.pl/book/sickness-unto-death-4024414.html,52.86,16
Great Dialogues Of Plato,Platón,2015.0,English,Paperback,https://www.libristo.pl/book/great-dialogues-of-plato.html,40.14,6
"Women, Race & Class",Angela Y. Davis,2019.0,English,Paperback,https://www.libristo.pl/book/women-race-class_22546474.html,39.76,33
Helmet for my Pillow,Robert Leckie,2011.0,English,Paperback,https://www.libristo.pl/book/helmet-for-my-pillow.html,68.24,16
Heart of Yoga,Desikachar,1999.0,English,Paperback,https://www.libristo.pl/book/heart-of-yoga.html,77.73,14
Become What You Are,Alan Watts,2018.0,English,Paperback,https://www.libristo.pl/book/become-what-you-are-16817751.html,65.39,5
Vanished Kingdoms,Norman Davies,2012.0,English,Paperback,https://www.libristo.pl/book/vanished-kingdoms-1198239.html,90.54,14
Vampires,Konstantinos,1996.0,English,Paperback,https://www.libristo.pl/book/vampires-6579625.html,85.89,1
USS Yorktown (CV-5): From Design and Construction to the Battles of Coral Sea and Midway,David Doyle,2017.0,English,Hardback,https://www.libristo.pl/book/uss-yorktown-cv-5-14696957.html,94.72,6
Power of Unlimited Imagination,Neville Goddard,2015.0,English,Paperback,https://www.libristo.pl/book/power-of-unlimited-imagination.html,65.39,5
Mini Zen Gardening Kit,Abd Al Hayy Moore,2000.0,English,Hardback,https://www.libristo.pl/book/mini-zen-gardening-kit.html,37.67,24
Wisdom of Insecurity,Alan W. Watts,2011.0,English,Paperback,https://www.libristo.pl/book/wisdom-of-insecurity.html,64.82,15
